Ranking,Pais,1990,Indice_Ingreso_1990,1991,Indice_Ingreso_1991,1992,Indice_Ingreso_1992,1993,Indice_Ingreso_1993,1994,Indice_Ingreso_1994,1995,Indice_Ingreso_1995,1996,Indice_Ingreso_1996,1997,Indice_Ingreso_1997,1998,Indice_Ingreso_1998,1999,Indice_Ingreso_1999,2000,Indice_Ingreso_2000,2001,Indice_Ingreso_2001,2002,Indice_Ingreso_2002,2003,Indice_Ingreso_2003,2004,Indice_Ingreso_2004,2005,Indice_Ingreso_2005,2006,Indice_Ingreso_2006,2007,Indice_Ingreso_2007,2008,Indice_Ingreso_2008,2009,Indice_Ingreso_2009,2010,Indice_Ingreso_2010,2011,Indice_Ingreso_2011,2012,Indice_Ingreso_2012,2013,Indice_Ingreso_2013,2014,Indice_Ingreso_2014,2015,Indice_Ingreso_2015,2016,Indice_Ingreso_2016,2017,Indice_Ingreso_2017,2018,Indice_Ingreso_2018,2019,Indice_Ingreso_2019
169, Afghanistan,2478,0.4848944680905436,2060,0.4569875560909575,1922,0.44651340118508887,1321,0.38987093314742166,951,0.34022945159208806,1344,0.39247833883951316,1223,0.37822722975768946,1130,0.36628034918501406,1058,0.3563352477889757,985,0.3455356736731441,904,0.33257323683856893,820,0.31784152359442014,1291,0.3864008939259487,1334,0.39135021013541377,1312,0.3888382655612766,1390,0.39756189365707095,1479,0.4069367804067886,1830,0.4391040656438465,1672,0.4254644200728961,1900,0.4447743835010624,1917,0.44611992419422664,2014,0.4535762360344296,2165,0.46449719791847116,2230,0.46896561134755443,2214,0.46787789661073265,2128,0.46189333094641855,2135,0.46238940932784045,2230,0.46896561134755443,2217,0.4680824406248975,2229,0.4688978581589865
69, Albania,4938,0.58904869512173,3496,0.5368829678924544,3208,0.5238964396310729,3685,0.5448362134541611,4103,0.5610668327338326,4772,0.5838833615037293,5253,0.5983898231001694,4681,0.5809749734365484,5115,0.5943684260947746,5716,0.6111494883577182,6139,0.6219337501249919,6661,0.634261070146949,6923,0.6400887365580681,7338,0.6488827668385451,7750,0.65713441538199,8199,0.6656417763267647,8830,0.6768414740776431,9434,0.6868361022610493,10019,0.6959240841515981,10241,0.6992346186626902,10775,0.7069126855527015,11237,0.713254498947535,11365,0.7149654396011171,11806,0.7207160436090058,11951,0.722559993016424,12273,0.726576077114165,12753,0.7323713016128225,13071,0.7360917284102718,13637,0.7424950792116598,13998,0.7464418294327716
91, Algeria,8597,0.6728019856023217,8206,0.6657706870471342,8162,0.6649585575028449,7830,0.6586857073869372,7543,0.6530449043374511,7567,0.6535247641126811,7655,0.655271322048907,7652,0.6552121115961804,7967,0.66130584463533,8025,0.6624015513430286,8110,0.6639931046057399,8469,0.6705360186281126,8734,0.6751901993543188,9253,0.6839097960117366,9451,0.6871080586419956,9692,0.6909116792600459,9816,0.6928320363403558,10385,0.7013438379717761,10574,0.7040682338995116,10539,0.7035674092472722,10824,0.7075980639068562,10793,0.7071648186940317,10798,0.7072347810552375,10828,0.7076538761119543,11006,0.7101168710633436,11151,0.7120939793123501,11554,0.7174568380403817,11372,0.715058450126082,11302,0.714125757633345,11174,0.7124052252743586
36, Andorra,45393,0.92415035457562,44773,0.9220729411478955,43488,0.9176741618159208,41569,0.9108569651785041,41401,0.9102452405176946,41761,0.911553059064227,43357,0.9172184460966653,47312,0.9304049764930533,48965,0.9355925013120778,50791,0.941123167698908,50582,0.9405003057417863,51350,0.9427765879102284,52559,0.9462918680317,56431,0.9570292575675281,58307,0.9619693089604305,60537,0.967638822336115,61623,0.9703246580615793,60386,0.9672615669373226,54424,0.9515590129460785,52042,0.9447986423632587,49262,0.9365059709067487,47366,0.9305772870695126,47347,0.9305166816840912,48486,0.9341075236710912,50568,0.9404584910061893,51780,0.9440362473865916,53245,0.9482506915888752,54371,0.9514118379031729,55254,0.953845317410143,56000,0.9558711189911038
148, Angola,4823,0.5854891801283146,5380,0.6019983983313772,2064,0.4572805837897921,2025,0.4543990224436129,1550,0.41401959440894187,3396,0.5324991509105574,3357,0.5307543740643123,3962,0.5557844945945514,3885,0.552819880179504,3508,0.5374005779867456,3674,0.5443846264769329,3883,0.5527420965879913,4638,0.5795809520720279,4663,0.5803929942995277,4907,0.5880974014398099,5366,0.6016048041687492,5646,0.6092881901738599,6330,0.626561852074152,6461,0.6296560577998136,6967,0.6410457523121905,6913,0.6398703847834479,6887,0.6393011886004133,7282,0.6477255626897613,7479,0.6517577754196684,7704,0.6562351551043908,7652,0.6552121115961804,7189,0.6457839724156799,6862,0.6387518544748156,6361,0.6272998139347192,6104,0.621070078639069
78, Antigua and Barbuda,13232,0.7379409681537002,13811,0.7444102678847377,13842,0.7447489457594278,14534,0.7521179403691326,15141,0.7582984707885589,14150,0.7480732557757984,14841,0.7552754415125665,15460,0.7614479445908237,15915,0.7658294697899961,16156,0.768099752383289,16431,0.7706493158461036,15742,0.7641784667462508,15358,0.7604480263052682,16156,0.768099752383289,16811,0.7741029996450493,17776,0.7825342959623305,19757,0.7984946369944762,21254,0.8095273328183211,20819,0.8064036390143812,18084,0.7851291821515255,16803,0.7740310983019271,16199,0.7685012606678517,16562,0.7718488675570998,16518,0.7714470261967415,17033,0.7760847307253909,17495,0.7801273577638368,18107,0.7853211791833548,18923,0.7919796417423377,20139,0.8013874108499927,20895,0.806954065647526
46, Argentina,13597,0.7420513519883338,14803,0.7548881711754656,15940,0.7660665687735034,17132,0.7769601622642698,17874,0.783364786787795,17091,0.7765982250904645,17782,0.782585273767431,18983,0.7924578431591086,19426,0.7959424773092233,18535,0.7888501783402135,18179,0.7859206405146137,17152,0.7771364027828966,14727,0.7541106391109784,16056,0.7671618645362173,16058,0.7671806794744469,17270,0.7781720570810143,20124,0.8012748590741425,21867,0.8138223817144018,22551,0.8184750130123264,20877,0.8068238825903045,22727,0.8196493556345147,23947,0.8275479707143787,23516,0.8248044943291243,23852,0.8269475266307696,23048,0.8217679655581205,23466,0.8244829758999207,22697,0.8194498279575035,22962,0.8212032705775696,21918,0.814174276006253,21190,0.8090717879057178
81, Armenia,5191,0.5965963406481898,4617,0.5788954467661331,2732,0.4996348124126175,2552,0.4893393709424586,2743,0.5002417951636479,3111,0.5192585041988059,3336,0.5298064640781798,3600,0.541311074161711,3781,0.5487210646431367,3926,0.5544056801710061,4180,0.5638753867326426,4604,0.5784695220705519,5268,0.5988205497432519,6035,0.6193528107059217,6758,0.63644493796986,7753,0.6571928772538594,8889,0.677847436162337,10272,0.69969118096344,11137,0.711904210780633,9435,0.686852113255964,9753,0.6918594221081779,10078,0.696811013917796,10831,0.707695721737056,11353,0.7148058596253144,11520,0.7170116704418692,11774,0.7203060532467013,11570,0.7176658755847319,12543,0.7298632029129702,12895,0.7340439570266059,13894,0.745315350953757
8, Australia,30297,0.863077131091296,29644,0.859785784765711,29454,0.85881449342428,30689,0.8650190411100575,31715,0.869986579966908,32180,0.8721852545169142,32954,0.875775472831654,33931,0.8801887776786517,35188,0.8856835907193058,36574,0.8915192497606447,37638,0.8958510104520417,37873,0.8967912234403146,38942,0.900995845001178,39573,0.9034238706951546,40670,0.9075542861046502,41058,0.9089885574462292,41486,0.9105550536770124,42538,0.9143377570380111,43361,0.9172323814486325,43533,0.9178303886696225,43580,0.9179933866162834,43907,0.9191225933369753,45313,0.9238839011625322,45989,0.9261207752814907,46401,0.9274680071002027,47043,0.9295436739265661,47468,0.9309022272922626,47576,0.9312455214720246,48024,0.9326612842971249,48085,0.9328530332665549
18, Austria,37994,0.8972730603125946,38721,0.9001361458717703,39021,0.9013019750080613,38933,0.9009609300326136,39634,0.9036565370361566,40485,0.9068655951130524,41521,0.9106824393411518,42166,0.9130109461825229,43563,0.9179344502136799,44573,0.9213966669613155,46309,0.9271682091960147,46479,0.9277217183365823,47396,0.9306729303039902,47771,0.9318633890229145,48830,0.9351754547004989,49550,0.9373865152500996,51240,0.9424526550352991,52798,0.9469772023090116,53905,0.9501115976754698,51287,0.9425911477225358,52564,0.9463062374590846,53649,0.9493925107003627,53642,0.9493728000047561,53429,0.9487717985528694,53292,0.9483839714791563,52639,0.9465216150010327,53682,0.9494853979238602,54152,0.9508021745124021,55533,0.954606140216967,56197,0.9564015789795687
