Pais,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 Afghanistan,0.12222222222222223,0.1338888888888889,0.14222222222222222,0.15666666666666668,0.16833333333333333,0.18,0.1911111111111111,0.20277777777777778,0.21111111111111114,0.2227777777777778,0.23722222222222222,0.24555555555555555,0.25722222222222224,0.2688888888888889,0.30277777777777776,0.31166666666666665,0.32333333333333336,0.3383333333333333,0.34444444444444444,0.35055555555555556,0.3705555555555556,0.3738888888888889,0.39111111111111113,0.4,0.4027777777777778,0.4033333333333333,0.40611111111111114,0.4072222222222222,0.41055555555555556,0.41333333333333333
 Albania,0.5822222222222222,0.5877777777777777,0.5572222222222223,0.5405555555555556,0.5405555555555556,0.55,0.5566666666666666,0.5683333333333334,0.5805555555555555,0.5838888888888889,0.5877777777777777,0.5872222222222222,0.5972222222222222,0.6027777777777779,0.6061111111111112,0.62,0.6288888888888888,0.6399999999999999,0.6427777777777777,0.6516666666666666,0.6711111111111111,0.7138888888888888,0.7388888888888889,0.7472222222222222,0.7583333333333333,0.7527777777777778,0.7444444444444445,0.7477777777777779,0.745,0.745
 Algeria,0.38666666666666666,0.3961111111111111,0.40555555555555556,0.41555555555555557,0.42500000000000004,0.42888888888888893,0.4444444444444444,0.4594444444444445,0.4716666666666667,0.4872222222222222,0.49944444444444447,0.5116666666666667,0.5294444444444444,0.5416666666666666,0.5566666666666666,0.5716666666666667,0.575,0.59,0.5872222222222222,0.6077777777777778,0.6255555555555555,0.643888888888889,0.6394444444444445,0.6377777777777778,0.6522222222222223,0.6577777777777778,0.6577777777777778,0.6666666666666667,0.6694444444444445,0.6722222222222223
 Andorra,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.6300000000000001,0.6300000000000001,0.6355555555555557,0.6394444444444445,0.65,0.6300000000000001,0.6511111111111111,0.6544444444444445,0.6683333333333333,0.6683333333333333,0.6716666666666666,0.6716666666666666,0.7216666666666667,0.7138888888888888,0.725,0.7172222222222222,0.7227777777777777,0.711111111111111,0.7194444444444444,0.7194444444444444
 Angola,0.09444444444444444,0.09166666666666666,0.08888888888888889,0.10277777777777779,0.10555555555555556,0.10833333333333334,0.1111111111111111,0.11388888888888887,0.11666666666666667,0.27444444444444444,0.28833333333333333,0.29944444444444446,0.3105555555555556,0.3244444444444444,0.33555555555555555,0.3466666666666667,0.36388888888888893,0.375,0.3894444444444444,0.4066666666666667,0.39555555555555555,0.42055555555555557,0.43500000000000005,0.44944444444444454,0.4605555555555556,0.4722222222222222,0.48666666666666664,0.49777777777777776,0.5011111111111111,0.5011111111111111
 Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23333333333333334,0.2966666666666667,0.3,0.3,0.30333333333333334,0.6727777777777778,0.6761111111111111,0.6761111111111111,0.6738888888888889,0.6711111111111111,0.665,0.6499999999999999,0.6555555555555556,0.6588888888888889,0.6505555555555556,0.6538888888888889,0.6538888888888889,0.6572222222222222,0.6572222222222222,0.6655555555555556
 Argentina,0.63,0.6333333333333333,0.6333333333333333,0.6338888888888888,0.6372222222222221,0.6461111111111111,0.6583333333333333,0.67,0.6822222222222223,0.7133333333333334,0.7366666666666667,0.7561111111111112,0.7622222222222221,0.7627777777777778,0.7594444444444444,0.7505555555555556,0.7961111111111112,0.7961111111111112,0.8016666666666667,0.81,0.8183333333333334,0.8211111111111111,0.8244444444444444,0.8216666666666668,0.8272222222222223,0.83,0.8333333333333333,0.8422222222222222,0.8422222222222222,0.855
 Armenia,0.6366666666666667,0.64,0.64,0.6461111111111112,0.6411111111111112,0.63,0.6333333333333333,0.645,0.6677777777777778,0.6733333333333333,0.6711111111111112,0.6594444444444445,0.6600000000000001,0.6627777777777779,0.6655555555555557,0.6799999999999999,0.6938888888888889,0.7166666666666666,0.711111111111111,0.731111111111111,0.7338888888888888,0.7372222222222222,0.7377777777777779,0.7438888888888888,0.7472222222222222,0.7511111111111111,0.7444444444444445,0.7377777777777779,0.7405555555555556,0.7405555555555556
 Australia,0.8733333333333333,0.8738888888888889,0.8738888888888889,0.8766666666666667,0.8738888888888889,0.9155555555555557,0.9322222222222223,0.9544444444444444,0.9516666666666667,0.9633333333333334,0.9661111111111111,0.9550000000000001,0.9655555555555557,0.9683333333333333,0.9572222222222222,0.9372222222222222,0.9044444444444445,0.9105555555555556,0.9438888888888889,0.9583333333333333,0.97,0.9816666666666667,0.9905555555555556,0.9733333333333333,0.9766666666666667,1.0638888888888889,1.0616666666666668,1.0538888888888889,1.0344444444444445,1.0344444444444445
 Austria,0.6727777777777778,0.6816666666666666,0.69,0.6988888888888889,0.7044444444444444,0.7105555555555556,0.7105555555555556,0.7133333333333334,0.7194444444444444,0.7277777777777779,0.7305555555555556,0.7538888888888888,0.7216666666666667,0.7283333333333333,0.7405555555555556,0.7466666666666667,0.758888888888889,0.8061111111111111,0.8083333333333333,0.8177777777777777,0.8377777777777777,0.8377777777777777,0.8405555555555556,0.8355555555555556,0.8522222222222222,0.8616666666666666,0.8644444444444443,0.8672222222222222,0.8672222222222222,0.8638888888888889
