Ranking,Pais,1990,Indice_Salud_1990,1991,Indice_Salud_1991,1992,Indice_Salud_1992,1993,Indice_Salud_1993,1994,Indice_Salud_1994,1995,Indice_Salud_1995,1996,Indice_Salud_1996,1997,Indice_Salud_1997,1998,Indice_Salud_1998,1999,Indice_Salud_1999,2000,Indice_Salud_2000,2001,Indice_Salud_2001,2002,Indice_Salud_2002,2003,Indice_Salud_2003,2004,Indice_Salud_2004,2005,Indice_Salud_2005,2006,Indice_Salud_2006,2007,Indice_Salud_2007,2008,Indice_Salud_2008,2009,Indice_Salud_2009,2010,Indice_Salud_2010,2011,Indice_Salud_2011,2012,Indice_Salud_2012,2013,Indice_Salud_2013,2014,Indice_Salud_2014,2015,Indice_Salud_2015,2016,Indice_Salud_2016,2017,Indice_Salud_2017,2018,Indice_Salud_2018,2019,Indice_Salud_2019
169, Afghanistan,50.3,0.4661538461538461,51.0,0.47692307692307695,51.6,0.48615384615384616,52.3,0.49692307692307686,52.8,0.5046153846153846,53.4,0.5138461538461538,53.9,0.5215384615384615,54.4,0.5292307692307692,54.9,0.536923076923077,55.4,0.5446153846153846,55.8,0.5507692307692307,56.3,0.5584615384615385,56.8,0.5661538461538461,57.3,0.5738461538461538,57.8,0.5815384615384614,58.3,0.5892307692307692,58.8,0.5969230769230769,59.4,0.6061538461538462,59.9,0.6138461538461538,60.5,0.6230769230769231,61.0,0.6307692307692307,61.6,0.64,62.1,0.6476923076923077,62.5,0.6538461538461539,63.0,0.6615384615384615,63.4,0.6676923076923077,63.8,0.6738461538461538,64.1,0.6784615384615383,64.5,0.6846153846153846,64.8,0.6892307692307692
69, Albania,71.8,0.7969230769230768,71.8,0.7969230769230768,71.8,0.7969230769230768,71.9,0.7984615384615386,72.0,0.8,72.2,0.8030769230769231,72.5,0.8076923076923077,72.8,0.8123076923076923,73.2,0.8184615384615385,73.6,0.8246153846153845,74.0,0.8307692307692308,74.3,0.8353846153846154,74.6,0.8399999999999999,74.8,0.8430769230769231,75.0,0.8461538461538461,75.2,0.8492307692307692,75.4,0.8523076923076924,75.6,0.8553846153846153,75.9,0.8600000000000001,76.2,0.8646153846153847,76.6,0.8707692307692306,76.9,0.8753846153846154,77.3,0.8815384615384615,77.6,0.8861538461538461,77.8,0.8892307692307692,78.0,0.8923076923076924,78.2,0.8953846153846154,78.3,0.8969230769230769,78.5,0.9,78.6,0.9015384615384614
91, Algeria,66.9,0.7215384615384616,67.3,0.7276923076923076,67.6,0.7323076923076922,67.9,0.736923076923077,68.2,0.7415384615384616,68.5,0.7461538461538462,68.9,0.7523076923076923,69.3,0.7584615384615384,69.7,0.7646153846153847,70.2,0.7723076923076924,70.6,0.7784615384615384,71.1,0.7861538461538461,71.6,0.7938461538461538,72.1,0.8015384615384614,72.6,0.8092307692307692,73.1,0.8169230769230769,73.5,0.823076923076923,73.9,0.8292307692307693,74.3,0.8353846153846154,74.6,0.8399999999999999,74.9,0.8446153846153847,75.2,0.8492307692307692,75.4,0.8523076923076924,75.7,0.856923076923077,75.9,0.8600000000000001,76.1,0.863076923076923,76.3,0.8661538461538462,76.5,0.8692307692307693,76.7,0.8723076923076923,76.9,0.8753846153846154
36, Andorra,76.5,0.8692307692307693,76.7,0.8723076923076923,76.9,0.8753846153846154,77.0,0.8769230769230769,77.2,0.88,77.4,0.8830769230769232,77.6,0.8861538461538461,77.9,0.8907692307692309,78.2,0.8953846153846154,78.5,0.9,78.9,0.9061538461538462,79.2,0.9107692307692308,79.5,0.9153846153846154,79.8,0.9199999999999999,80.0,0.9230769230769231,80.2,0.9261538461538462,80.3,0.9276923076923076,80.5,0.9307692307692308,80.6,0.9323076923076922,80.7,0.9338461538461539,80.8,0.9353846153846154,80.9,0.936923076923077,81.1,0.94,81.2,0.9415384615384615,81.3,0.943076923076923,81.4,0.9446153846153847,81.5,0.9461538461538461,81.7,0.9492307692307693,81.8,0.9507692307692307,81.9,0.9523076923076924
148, Angola,45.3,0.3892307692307692,45.3,0.3892307692307692,45.2,0.3876923076923077,45.2,0.3876923076923077,45.2,0.3876923076923077,45.2,0.3876923076923077,45.4,0.39076923076923076,45.5,0.3923076923076923,45.8,0.3969230769230769,46.1,0.40153846153846157,46.5,0.4076923076923077,47.1,0.41692307692307695,47.7,0.4261538461538462,48.4,0.4369230769230769,49.3,0.4507692307692307,50.2,0.46461538461538465,51.1,0.4784615384615385,52.2,0.4953846153846154,53.2,0.5107692307692309,54.3,0.5276923076923077,55.4,0.5446153846153846,56.3,0.5584615384615385,57.2,0.5723076923076924,58.1,0.5861538461538461,58.8,0.5969230769230769,59.4,0.6061538461538462,59.9,0.6138461538461538,60.4,0.6215384615384615,60.8,0.6276923076923077,61.1,0.6323076923076923
78, Antigua and Barbuda,71.5,0.7923076923076923,71.8,0.7969230769230768,72.0,0.8,72.2,0.8030769230769231,72.5,0.8076923076923077,72.7,0.8107692307692308,73.0,0.8153846153846154,73.2,0.8184615384615385,73.5,0.823076923076923,73.7,0.8261538461538462,73.9,0.8292307692307693,74.2,0.8338461538461539,74.4,0.836923076923077,74.6,0.8399999999999999,74.8,0.8430769230769231,75.0,0.8461538461538461,75.2,0.8492307692307692,75.4,0.8523076923076924,75.5,0.8538461538461538,75.7,0.856923076923077,75.8,0.8584615384615384,76.0,0.8615384615384616,76.1,0.863076923076923,76.2,0.8646153846153847,76.3,0.8661538461538462,76.5,0.8692307692307693,76.6,0.8707692307692306,76.8,0.8738461538461538,76.9,0.8753846153846154,77.0,0.8769230769230769
46, Argentina,71.6,0.7938461538461538,71.8,0.7969230769230768,72.0,0.8,72.2,0.8030769230769231,72.5,0.8076923076923077,72.7,0.8107692307692308,72.8,0.8123076923076923,73.0,0.8153846153846154,73.2,0.8184615384615385,73.4,0.8215384615384617,73.6,0.8246153846153845,73.8,0.8276923076923076,73.9,0.8292307692307693,74.1,0.8323076923076922,74.3,0.8353846153846154,74.5,0.8384615384615385,74.6,0.8399999999999999,74.8,0.8430769230769231,75.0,0.8461538461538461,75.1,0.8476923076923076,75.3,0.8507692307692307,75.4,0.8523076923076924,75.6,0.8553846153846153,75.8,0.8584615384615384,75.9,0.8600000000000001,76.1,0.863076923076923,76.2,0.8646153846153847,76.4,0.8676923076923078,76.5,0.8692307692307693,76.7,0.8723076923076923
81, Armenia,67.9,0.736923076923077,67.9,0.736923076923077,68.0,0.7384615384615385,68.2,0.7415384615384616,68.5,0.7461538461538462,68.9,0.7523076923076923,69.4,0.7600000000000001,69.9,0.7676923076923078,70.4,0.7753846153846154,70.9,0.7830769230769231,71.4,0.7907692307692309,71.8,0.7969230769230768,72.1,0.8015384615384614,72.3,0.8046153846153846,72.5,0.8076923076923077,72.6,0.8092307692307692,72.7,0.8107692307692308,72.8,0.8123076923076923,72.9,0.8138461538461539,73.1,0.8169230769230769,73.3,0.82,73.6,0.8246153846153845,73.8,0.8276923076923076,74.1,0.8323076923076922,74.3,0.8353846153846154,74.5,0.8384615384615385,74.6,0.8399999999999999,74.8,0.8430769230769231,74.9,0.8446153846153847,75.1,0.8476923076923076
8, Australia,76.9,0.8753846153846154,77.2,0.88,77.5,0.8846153846153846,77.8,0.8892307692307692,78.0,0.8923076923076924,78.3,0.8969230769230769,78.5,0.9,78.8,0.9046153846153846,79.0,0.9076923076923077,79.3,0.9123076923076923,79.6,0.9169230769230768,79.9,0.9215384615384616,80.2,0.9261538461538462,80.5,0.9307692307692308,80.7,0.9338461538461539,81.0,0.9384615384615385,81.2,0.9415384615384615,81.4,0.9446153846153847,81.6,0.9476923076923076,81.8,0.9507692307692307,81.9,0.9523076923076924,82.1,0.9553846153846153,82.3,0.9584615384615384,82.5,0.9615384615384616,82.6,0.9630769230769229,82.8,0.9661538461538461,83.0,0.9692307692307692,83.1,0.9707692307692307,83.3,0.9738461538461538,83.4,0.9753846153846155
18, Austria,75.6,0.8553846153846153,75.8,0.8584615384615384,76.1,0.863076923076923,76.3,0.8661538461538462,76.6,0.8707692307692306,76.8,0.8738461538461538,77.1,0.8784615384615384,77.4,0.8830769230769232,77.7,0.8876923076923078,78.0,0.8923076923076924,78.2,0.8953846153846154,78.5,0.9,78.8,0.9046153846153846,79.1,0.9092307692307692,79.3,0.9123076923076923,79.6,0.9169230769230768,79.8,0.9199999999999999,80.0,0.9230769230769231,80.2,0.9261538461538462,80.4,0.9292307692307693,80.6,0.9323076923076922,80.8,0.9353846153846154,80.9,0.936923076923077,81.0,0.9384615384615385,81.1,0.94,81.2,0.9415384615384615,81.3,0.943076923076923,81.3,0.943076923076923,81.4,0.9446153846153847,81.5,0.9461538461538461
88, Azerbaijan,64.8,0.6892307692307692,64.7,0.6876923076923077,64.7,0.6876923076923077,64.8,0.6892307692307692,65.0,0.6923076923076923,65.3,0.6969230769230769,65.6,0.7015384615384614,65.9,0.7061538461538462,66.2,0.7107692307692308,66.5,0.7153846153846154,66.8,0.72,67.1,0.7246153846153846,67.4,0.7292307692307693,67.8,0.7353846153846153,68.2,0.7415384615384616,68.7,0.7492307692307693,69.3,0.7584615384615384,69.8,0.7661538461538461,70.2,0.7723076923076924,70.6,0.7784615384615384,70.9,0.7830769230769231,71.2,0.7876923076923077,71.5,0.7923076923076923,71.8,0.7969230769230768,72.0,0.8,72.3,0.8046153846153846,72.5,0.8076923076923077,72.7,0.8107692307692308,72.9,0.8138461538461539,73.0,0.8153846153846154
